HomeTeam,AwayTeam,FTHG,FTAG
Liverpool,AFC Bournemouth,4,2
Aston Villa,Newcastle United,0,0
Brighton & Hove Albion,Fulham,1,1
Sunderland,West Ham United,3,0
Tottenham Hotspur,Burnley,3,0
Wolverhampton Wanderers,Manchester City,0,4
Chelsea,Crystal Palace,0,0
Manchester United,Arsenal,0,1
Nottingham Forest,Brentford,3,1
Leeds United,Everton,1,0
West Ham United,Chelsea,1,5
AFC Bournemouth,Wolverhampton Wanderers,1,0
Arsenal,Leeds United,5,0
Brentford,Aston Villa,1,0
Burnley,Sunderland,2,0
Manchester City,Tottenham Hotspur,0,2
Crystal Palace,Nottingham Forest,1,1
Everton,Brighton & Hove Albion,2,0
Fulham,Manchester United,1,1
Newcastle United,Liverpool,2,3
Chelsea,Fulham,2,0
Leeds United,Newcastle United,0,0
Manchester United,Burnley,3,2
Sunderland,Brentford,2,1
Tottenham Hotspur,AFC Bournemouth,0,1
Wolverhampton Wanderers,Everton,2,3
Aston Villa,Crystal Palace,0,3
Brighton & Hove Albion,Manchester City,2,1
Liverpool,Arsenal,1,0
Nottingham Forest,West Ham United,0,3
AFC Bournemouth,Brighton & Hove Albion,2,1
Arsenal,Nottingham Forest,3,0
Brentford,Chelsea,2,2
Crystal Palace,Sunderland,0,0
Everton,Aston Villa,0,0
Fulham,Leeds United,1,0
Newcastle United,Wolverhampton Wanderers,1,0
West Ham United,Tottenham Hotspur,0,3
Burnley,Liverpool,0,1
Manchester City,Manchester United,3,0
Brighton & Hove Albion,Tottenham Hotspur,2,2
Burnley,Nottingham Forest,1,1
Fulham,Brentford,3,1
Liverpool,Everton,2,1
Manchester United,Chelsea,2,1
West Ham United,Crystal Palace,1,2
Wolverhampton Wanderers,Leeds United,1,3
AFC Bournemouth,Newcastle United,0,0
Arsenal,Manchester City,1,1
Sunderland,Aston Villa,1,1
Brentford,Manchester United,3,1
Chelsea,Brighton & Hove Albion,1,3
Crystal Palace,Liverpool,2,1
Leeds United,AFC Bournemouth,2,2
Manchester City,Burnley,5,1
Nottingham Forest,Sunderland,0,1
Tottenham Hotspur,Wolverhampton Wanderers,1,1
Aston Villa,Fulham,3,1
Newcastle United,Arsenal,1,2
Everton,West Ham United,1,1
AFC Bournemouth,Fulham,3,1
Arsenal,West Ham United,2,0
Chelsea,Liverpool,2,1
Leeds United,Tottenham Hotspur,1,2
Manchester United,Sunderland,2,0
Aston Villa,Burnley,2,1
Brentford,Manchester City,0,1
Everton,Crystal Palace,2,1
Newcastle United,Nottingham Forest,2,0
Wolverhampton Wanderers,Brighton & Hove Albion,1,1
Brighton & Hove Albion,Newcastle United,2,1
Burnley,Leeds United,2,0
Crystal Palace,AFC Bournemouth,3,3
Fulham,Arsenal,0,1
Manchester City,Everton,2,0
Nottingham Forest,Chelsea,0,3
Sunderland,Wolverhampton Wanderers,2,0
Liverpool,Manchester United,1,2
Tottenham Hotspur,Aston Villa,1,2
West Ham United,Brentford,0,2
Leeds United,West Ham United,2,1
Brentford,Liverpool,3,2
Chelsea,Sunderland,1,2
Manchester United,Brighton & Hove Albion,4,2
Newcastle United,Fulham,2,1
AFC Bournemouth,Nottingham Forest,2,0
Arsenal,Crystal Palace,1,0
Aston Villa,Manchester City,1,0
Everton,Tottenham Hotspur,0,3
Wolverhampton Wanderers,Burnley,2,3
Brighton & Hove Albion,Leeds United,3,0
Burnley,Arsenal,0,2
Crystal Palace,Brentford,2,0
Fulham,Wolverhampton Wanderers,3,0
Liverpool,Aston Villa,2,0
Nottingham Forest,Manchester United,2,2
Tottenham Hotspur,Chelsea,0,1
Manchester City,AFC Bournemouth,3,1
West Ham United,Newcastle United,3,1
Sunderland,Everton,1,1
Chelsea,Wolverhampton Wanderers,3,0
Everton,Fulham,2,0
Sunderland,Arsenal,2,2
Tottenham Hotspur,Manchester United,2,2
West Ham United,Burnley,3,2
Aston Villa,AFC Bournemouth,4,0
Brentford,Newcastle United,3,1
Crystal Palace,Brighton & Hove Albion,0,0
Manchester City,Liverpool,3,0
Nottingham Forest,Leeds United,3,1
AFC Bournemouth,West Ham United,2,2
Brighton & Hove Albion,Brentford,2,1
Burnley,Chelsea,0,2
Fulham,Sunderland,1,0
Liverpool,Nottingham Forest,0,3
Newcastle United,Manchester City,2,1
Wolverhampton Wanderers,Crystal Palace,0,2
Arsenal,Tottenham Hotspur,4,1
Leeds United,Aston Villa,1,2
Manchester United,Everton,0,1
Brentford,Burnley,3,1
Everton,Newcastle United,1,4
Manchester City,Leeds United,3,2
Sunderland,AFC Bournemouth,3,2
Tottenham Hotspur,Fulham,1,2
Aston Villa,Wolverhampton Wanderers,1,0
Chelsea,Arsenal,1,1
Crystal Palace,Manchester United,1,2
Nottingham Forest,Brighton & Hove Albion,0,2
West Ham United,Liverpool,0,2
AFC Bournemouth,Everton,0,1
Fulham,Manchester City,4,5
Newcastle United,Tottenham Hotspur,2,2
Arsenal,Brentford,2,0
Burnley,Crystal Palace,0,1
Leeds United,Chelsea,3,1
Liverpool,Sunderland,1,1
Wolverhampton Wanderers,Nottingham Forest,0,1
Manchester United,West Ham United,1,1
AFC Bournemouth,Chelsea,0,0
Aston Villa,Arsenal,2,1
Everton,Nottingham Forest,3,0
Leeds United,Liverpool,3,3
Manchester City,Sunderland,3,0
Newcastle United,Burnley,2,1
Tottenham Hotspur,Brentford,2,0
Brighton & Hove Albion,West Ham United,1,1
Fulham,Crystal Palace,1,2
Wolverhampton Wanderers,Manchester United,1,4
Arsenal,Wolverhampton Wanderers,2,1
Burnley,Fulham,2,3
Chelsea,Everton,2,0
Liverpool,Brighton & Hove Albion,2,0
Brentford,Leeds United,1,1
Crystal Palace,Manchester City,0,3
Nottingham Forest,Tottenham Hotspur,3,0
Sunderland,Newcastle United,1,0
West Ham United,Aston Villa,2,3
Manchester United,AFC Bournemouth,4,4
AFC Bournemouth,Burnley,1,1
Brighton & Hove Albion,Sunderland,0,0
Everton,Arsenal,0,1
Leeds United,Crystal Palace,4,1
Manchester City,West Ham United,3,0
Newcastle United,Chelsea,2,2
Tottenham Hotspur,Liverpool,1,2
